player,JerseyNumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,game_id,player_id,team_nane
Caiya Hanks,7,us USA,FW,20-184,74,0,0,0,0,0,0,0,0,22,2,0,1,0,0,0,1,0,8,1,57.1,0,13,1,0,475a847a,7CaiyaHanks475a847a,Portland Thorns FC
Alexa Spaanstra,77,us USA,FW,25-056,16,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,1,33.3,0,2,0,0,475a847a,77AlexaSpaanstra475a847a,Portland Thorns FC
Reilyn Turner,66,us USA,FW,22-163,74,0,0,0,0,3,0,0,0,27,0,0,1,0.5,0.5,0,4,0,12,2,63.2,1,13,1,1,475a847a,66ReilynTurner475a847a,Portland Thorns FC
Pietra Tordin,19,us USA,FW,20-364,16,0,0,0,0,3,0,0,0,11,0,0,0,0.2,0.2,0,2,0,5,2,83.3,0,5,0,0,475a847a,19PietraTordin475a847a,Portland Thorns FC
Hina Sugita,8,jp JPN,LM,28-057,90,0,0,0,0,6,0,0,0,74,0,1,4,0.6,0.6,0,4,0,31,2,63.3,6,33,1,0,475a847a,8HinaSugita475a847a,Portland Thorns FC
Deyna Castellanos,10,ve VEN,CM,25-345,58,0,0,0,0,2,2,1,0,30,1,0,0,0.1,0.1,0,0,0,11,4,68.8,4,16,0,2,475a847a,10DeynaCastellanos475a847a,Portland Thorns FC
Jessie Fleming,21,ca CAN,CM,27-018,32,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,5,3,41.7,0,8,1,1,475a847a,21JessieFleming475a847a,Portland Thorns FC
Olivia Moultrie,13,us USA,RM,19-193,90,0,0,0,0,3,0,0,0,66,6,1,1,0.2,0.2,0.6,9,0,33,5,68.8,9,37,4,0,475a847a,13OliviaMoultrie475a847a,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-088,90,0,0,0,0,1,0,0,0,55,2,3,3,0.1,0.1,0.2,5,0,31,1,81.6,8,33,3,1,475a847a,17SamCoffey475a847a,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-041,90,0,0,0,0,0,0,0,0,84,4,2,4,0,0,0,3,0,49,4,76.6,1,34,1,1,475a847a,2ReynaReyes475a847a,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-150,90,0,0,0,0,0,0,0,0,51,3,1,1,0,0,0,0,0,34,0,85,0,25,0,0,475a847a,5IsabellaObaze475a847a,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-082,90,0,0,0,0,1,0,0,0,43,0,0,0,0.1,0.1,0,1,0,26,0,83.9,1,22,0,0,475a847a,16SamanthaHiatt475a847a,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-012,90,0,0,0,0,0,0,0,0,50,0,0,1,0,0,0.4,3,0,39,0,90.7,5,22,1,0,475a847a,20KaitlynTorpey475a847a,Portland Thorns FC
Mackenzie Arnold,18,au AUS,GK,31-032,90,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,24,0,77.4,0,22,0,0,475a847a,18MackenzieArnold475a847a,Portland Thorns FC
Hannah Betfort,30,us USA,FW,26-084,86,0,0,0,0,2,0,0,0,27,0,0,1,0.3,0.3,0,0,0,11,2,55,0,20,4,1,475a847a,30HannahBetfort475a847a,North Carolina Courage
Brooklyn Courtnall,24,ca CAN,FW,22-091,4,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,1,100,0,2,0,0,475a847a,24BrooklynCourtnall475a847a,North Carolina Courage
Meredith Speck,25,us USA,LW,32-056,61,0,0,0,0,1,1,0,0,35,0,0,0,0,0,0,3,0,18,1,62.1,1,20,2,0,475a847a,25MeredithSpeck475a847a,North Carolina Courage
Manaka Matsukubo,34,jp JPN,LW,20-244,29,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,1,0,9,0,81.8,1,11,0,0,475a847a,34ManakaMatsukubo475a847a,North Carolina Courage
Ashley Sanchez,2,us USA,RW,26-013,90,0,0,0,0,0,0,0,0,45,4,3,3,0,0,0.1,2,0,23,2,69.7,3,26,2,0,475a847a,2AshleySanchez475a847a,North Carolina Courage
Shinomi Koyama,20,jp JPN,LM,20-057,70,0,0,0,0,1,1,0,0,43,2,0,1,0.1,0.1,0.7,4,0,36,0,94.7,9,31,0,0,475a847a,20ShinomiKoyama475a847a,North Carolina Courage
Riley Jackson,16,us USA,LM,19-117,20,0,0,0,0,0,0,0,0,13,5,0,1,0,0,0,0,0,5,0,62.5,1,5,0,0,475a847a,16RileyJackson475a847a,North Carolina Courage
Denise O'Sullivan,10,ie IRL,CM,31-053,90,0,0,0,0,2,1,0,0,80,9,1,3,0.1,0.1,0.1,6,0,46,1,79.3,5,37,0,1,475a847a,10DeniseO'Sullivan475a847a,North Carolina Courage
Jaedyn Shaw,19,us USA,RM,20-129,86,0,0,0,1,5,1,0,0,64,3,1,0,1.6,0.8,0.4,5,0,32,4,71.1,6,46,3,1,475a847a,19JaedynShaw475a847a,North Carolina Courage
Brianna Pinto,8,us USA,RM,24-309,4,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,33.3,1,3,0,0,475a847a,8BriannaPinto475a847a,North Carolina Courage
Talia Staude,12,us USA,LB,23-343,90,0,0,0,0,2,0,0,0,69,1,1,2,0.1,0.1,0,2,0,48,1,87.3,13,37,0,1,475a847a,12TaliaStaude475a847a,North Carolina Courage
Malia Berkely,7,us USA,CB,27-044,90,0,0,0,0,0,0,0,0,64,0,0,5,0,0,0,1,0,42,2,82.4,2,47,0,0,475a847a,7MaliaBerkely475a847a,North Carolina Courage
Kaleigh Kurtz,3,us USA,CB,27-201,90,0,0,0,0,1,0,0,0,81,2,2,3,0.1,0.1,0,1,0,50,0,82,4,44,0,0,475a847a,3KaleighKurtz475a847a,North Carolina Courage
Ryan Williams,13,us USA,RB,29-034,90,0,0,0,0,0,0,0,0,115,4,1,6,0,0,0.1,3,0,72,3,80.9,8,70,3,2,475a847a,13RyanWilliams475a847a,North Carolina Courage
Casey Murphy,1,us USA,GK,28-338,90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,38,0,86.4,0,26,0,0,475a847a,1CaseyMurphy475a847a,North Carolina Courage
