player,JerseyNumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,game_id,player_id,team_name
Aisha Solórzano,30,gt GUA,FW,26-363,45,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,0,0,2,0,50,0,4,0,0,fb58cf7f,30AishaSolórzanofb58cf7f,Utah Royals
KK Ream,19,us USA,FW,15-278,45,0,0,0,0,1,0,0,0,10,0,0,0,0.4,0.4,0,0,0,4,0,57.1,0,3,0,0,fb58cf7f,19KKReamfb58cf7f,Utah Royals
Bianca St-Georges,53,ca CAN,LW,27-257,69,0,0,0,0,1,0,0,0,28,2,0,0,0,0,0.6,2,0,8,4,47.1,1,16,5,1,fb58cf7f,53BiancaSt-Georgesfb58cf7f,Utah Royals
Ana María Guzmán,15,co COL,LW,19-304,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100,0,1,0,0,fb58cf7f,15AnaMaríaGuzmánfb58cf7f,Utah Royals
Brecken Mozingo,13,us USA,RW,24-034,65,0,0,0,0,1,0,0,0,16,2,0,0,0.1,0.1,0,1,0,7,0,77.8,1,3,0,0,fb58cf7f,13BreckenMozingofb58cf7f,Utah Royals
Imani Dorsey,28,us USA,RB,29-021,25,0,0,0,0,0,0,0,0,24,2,1,0,0,0,0,0,0,15,1,83.3,0,9,0,0,fb58cf7f,28ImaniDorseyfb58cf7f,Utah Royals
Ally Sentnor,9,us USA,AM,21-052,90,0,0,0,0,2,0,0,0,45,1,1,3,0.1,0.1,0,5,0,18,4,52.9,3,29,5,2,fb58cf7f,9AllySentnorfb58cf7f,Utah Royals
Claudia Zornoza,10,es ESP,DM,34-173,90,0,0,0,0,1,1,0,0,57,1,1,3,0,0,0.1,1,0,37,1,74,5,33,1,0,fb58cf7f,10ClaudiaZornozafb58cf7f,Utah Royals
Mikayla Cluff,21,us USA,DM,26-045,45,0,0,0,0,0,0,0,0,19,1,1,1,0,0,0,0,0,11,0,68.8,2,11,0,0,fb58cf7f,21MikaylaClufffb58cf7f,Utah Royals
Dana Foederer,22,nl NED,DM,22-258,45,0,0,0,0,0,0,1,0,26,0,0,2,0,0,0,1,0,15,1,78.9,2,11,1,0,fb58cf7f,22DanaFoedererfb58cf7f,Utah Royals
Madison Pogarch,16,us USA,LB,27-157,90,0,0,0,0,0,0,0,0,43,3,0,0,0,0,0,2,0,26,1,81.3,2,17,1,1,fb58cf7f,16MadisonPogarchfb58cf7f,Utah Royals
Ana Tejada,17,es ESP,CB,22-313,90,0,0,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0,36,0,76.6,4,35,0,0,fb58cf7f,17AnaTejadafb58cf7f,Utah Royals
Kate Del Fava,8,us USA,CB,26-262,90,0,0,0,0,1,0,1,0,70,0,2,0,0,0,0,0,0,58,0,86.6,5,55,0,0,fb58cf7f,8KateDelFavafb58cf7f,Utah Royals
Janni Thomsen,7,dk DEN,RB RW,25-054,77,0,0,0,0,1,0,0,0,58,3,0,1,0.1,0.1,0,1,0,28,3,63.6,2,34,5,1,fb58cf7f,7JanniThomsenfb58cf7f,Utah Royals
Macey Fraser,6,nz NZL,RW,22-274,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,fb58cf7f,6MaceyFraserfb58cf7f,Utah Royals
Amanda McGlynn,1,us USA,GK,26-159,90,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,34,0,73.9,0,24,0,0,fb58cf7f,1AmandaMcGlynnfb58cf7f,Utah Royals
Deyna Castellanos,10,ve VEN,FW,25-358,83,0,0,0,0,2,0,0,0,26,0,1,1,0.2,0.2,0.2,1,0,11,3,61.1,2,14,1,2,fb58cf7f,10DeynaCastellanosfb58cf7f,Portland Thorns FC
Pietra Tordin,19,us USA,FW,21-012,7,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,fb58cf7f,19PietraTordinfb58cf7f,Portland Thorns FC
Caiya Hanks,7,us USA,LM,20-197,58,0,0,0,0,0,0,1,0,26,2,0,0,0,0,0,1,0,14,2,82.4,2,16,0,2,fb58cf7f,7CaiyaHanksfb58cf7f,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,LM,29-348,32,0,0,0,0,1,0,0,0,16,1,0,0,0.1,0.1,0,1,0,5,1,71.4,1,8,0,0,fb58cf7f,26Marie-YasmineAlidoufb58cf7f,Portland Thorns FC
Hina Sugita,8,jp JPN,CM,28-070,68,0,1,0,0,1,0,0,0,37,1,3,2,0.2,0.2,0.9,2,1,20,4,76.9,6,18,2,2,fb58cf7f,8HinaSugitafb58cf7f,Portland Thorns FC
Jessie Fleming,21,ca CAN,CM,27-031,22,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,4,0,80,2,3,0,0,fb58cf7f,21JessieFlemingfb58cf7f,Portland Thorns FC
Olivia Moultrie,13,us USA,CM,19-206,90,0,0,0,0,1,1,0,0,42,3,1,1,0.1,0.1,0.1,5,0,20,4,66.7,1,26,4,3,fb58cf7f,13OliviaMoultriefb58cf7f,Portland Thorns FC
Reilyn Turner,66,us USA,RM,22-176,83,1,0,0,0,5,1,0,0,35,0,1,2,2.1,2.1,0.1,2,0,15,0,65.2,0,18,1,0,fb58cf7f,66ReilynTurnerfb58cf7f,Portland Thorns FC
Alexa Spaanstra,77,us USA,RM,25-069,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,100,1,0,0,0,fb58cf7f,77AlexaSpaanstrafb58cf7f,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-101,90,0,0,0,0,0,0,0,0,53,2,2,1,0,0,0.3,4,0,33,7,82.5,6,28,1,3,fb58cf7f,17SamCoffeyfb58cf7f,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-054,90,0,0,0,0,0,0,0,0,64,2,2,0,0,0,0,0,0,37,1,69.8,3,28,1,1,fb58cf7f,2ReynaReyesfb58cf7f,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-050,90,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,29,0,76.3,0,21,0,0,fb58cf7f,24JaydenPerryfb58cf7f,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-095,90,0,0,0,0,0,0,0,0,45,1,0,1,0,0,0,0,0,27,0,73,2,21,0,0,fb58cf7f,16SamanthaHiattfb58cf7f,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-025,68,0,0,0,0,0,0,0,0,33,2,1,0,0,0,0,0,0,25,1,86.2,2,13,0,1,fb58cf7f,20KaitlynTorpeyfb58cf7f,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-149,22,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,3,0,60,0,1,0,0,fb58cf7f,29MallieMcKenziefb58cf7f,Portland Thorns FC
Bella Bixby,1,us USA,GK,29-142,90,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,21,0,52.5,0,18,0,0,fb58cf7f,1BellaBixbyfb58cf7f,Portland Thorns FC
